ID,EDO,MES,ANIO,MPIO,HORA,MINUTOS,DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,TOTMUERTOS,TOTHERIDOS,CLASE,CALLE1,CALLE2,CARRETERA,LONGITUD,LATITUD
1009255-112-190821532,1,1,2021,1,0,0,1,5,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,35,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES ORIENTE,AJONJOLÍ,,-102.25251800000001,21.86375794
1009255-112-190821538,1,1,2021,1,0,0,1,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,99,0,0,0,0,0,0,0,0,0,0,0,0,3,PETRÓLEOS MEXICANOS,GENERAL IGNACIO ZARAGOZA,,-102.2951944,21.89119536
1009255-112-190821641,1,1,2021,1,0,0,1,5,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,5,9,59,0,0,0,0,1,0,0,0,0,0,1,0,1,CONSTITUCIÓN,PASEO DE LA SOLIDARIDAD,,-102.28652220000001,21.91522082
1009255-112-190821424,1,1,2021,1,0,0,1,5,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,8,18,0,1,0,0,0,0,0,0,0,0,0,1,2,PORFIRIO PADILLA ENRÍQUEZ,,,-102.25603120000001,21.92719726
1009255-112-190821428,1,1,2021,1,0,50,1,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,6,9,0,0,0,0,0,0,1,0,0,0,0,0,1,2,CULTURA OTOMÍ 408,CULTURA MAYA,,-102.24423440000001,21.90957816
1009255-112-190821599,1,1,2021,1,1,24,1,5,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,29,0,0,0,0,0,0,0,0,0,0,0,0,3,LAS AMÉRICAS,CONVENCIÓN DE 1914 SUR,,-102.3029416,21.86691342
1009255-112-190821420,1,1,2021,1,2,30,1,5,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,8,26,1,0,0,0,0,0,0,0,0,0,1,0,1,FUENTEDE LOS LAGOS,COTO WINNIPEG,,-102.34552729999999,21.85552208
1009255-112-190821430,1,1,2021,1,4,20,1,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,1,0,0,0,0,0,0,0,1,2,SIGLO XXI,HACIENDA DE OJOCALIENTE,,-102.2512218,21.88713259
1009255-112-190821431,1,1,2021,1,7,10,1,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,33,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES NORTE,SAN JULIÁN,,-102.3079283,21.91611402
1009255-112-190821632,1,1,2021,1,8,25,1,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,67,0,0,0,0,0,1,0,0,0,0,0,1,2,QUINTA,CONVENCIÓN DE 1914 SUR,,-102.2982751,21.86610326
1009255-112-190821421,1,1,2021,1,9,5,1,5,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,9,29,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA DE LOS MAESTROS,SIGLO XXI,,-102.32302659999999,21.84328708
1009255-112-190821422,1,1,2021,1,11,10,1,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,29,0,0,0,0,0,0,0,0,0,0,0,0,3,COSÍO SUR,FRANCISCO G. HORNEDO,,-102.2865378,21.88163878
1009255-112-190821531,1,1,2021,1,11,45,1,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,5,9,26,0,0,0,0,0,0,0,0,0,0,0,0,3,HÉROE DE NACOZARI SUR,PRESILLAS,,-102.281419,21.87602272
1009255-112-190821423,1,1,2021,1,15,40,1,5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,5,9,53,0,0,0,0,1,0,0,0,0,0,1,0,1,ABELARDO RODRÍGUEZ,ZAPOPAN,,-102.33592540000001,21.88193108
1009255-112-190821425,1,1,2021,1,17,55,1,5,1,0,10,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,5,8,25,0,0,0,0,0,0,0,0,0,0,0,0,3,LICENCIADO ADOLFO RUÍZ CORTINES,ABELARDO RODRIGUEZ,,-102.3337301,21.87370732
1009255-112-190821426,1,1,2021,1,20,30,1,5,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,28,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES ORIENTE,PENSADORES MEXICANOS,,-102.2725932,21.90869625
1009255-112-190821656,1,1,2021,1,21,50,1,5,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,51,0,1,0,0,0,0,0,0,0,0,0,1,2,OJOCALIENTE,PAZ ROMO DE VIVAR,,-102.2591944,21.90226118
1009255-112-190821427,1,1,2021,1,1,5,2,6,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,JUAN PABLO II,LICENCIADO ADOLFO RUÍZ CORTINES,,-102.3223721,21.87137823
1009255-112-190821429,1,1,2021,1,1,10,2,6,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,1,0,0,0,0,0,1,2,PALMILLAS,,,-102.2410531,21.86107221
1009255-112-190821432,1,1,2021,1,11,52,2,6,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,8,12,0,1,0,0,0,0,0,0,0,0,0,1,2,FRANCISCO VILLA,GENARO VÁZQUEZ,,-102.2064225,21.85753471
1009255-112-190821433,1,1,2021,1,21,20,2,6,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CATARATAS DEL NIÁGARA 110,SERENGUETI,,-102.234386,21.88185192
1009255-112-190821434,1,1,2021,1,21,25,2,6,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,30,0,0,0,0,0,0,0,0,0,0,0,0,3,SAN JULIÁN,SIERRA DEL LAUREL,,-102.3079842,21.91651989
1009255-112-190821435,1,1,2021,1,0,10,3,7,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,38,0,0,0,0,0,0,0,0,0,0,0,0,3,QUINTA,CONVENCIÓN DE 1914 SUR,,-102.2982751,21.86610326
1009255-112-190821440,1,1,2021,1,1,50,3,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,51,0,0,0,0,0,0,0,0,0,0,0,0,3,AGUASCALIENTES NORTE,GENERAL IGNACIO ZARAGOZA,,-102.3038782,21.91596863
1009255-112-190821438,1,1,2021,1,2,25,3,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,24,0,0,0,0,0,0,0,0,0,0,0,0,3,CULTURA OTOMÍ,LOMA DE LAS CALANDRIAS,,-102.245784,21.914258399999998
1009255-112-190821445,1,1,2021,1,2,30,3,7,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,36,0,0,0,0,0,0,0,0,0,0,0,0,3,INDEPENDENCIA,NIÑOS HÉROES,,-102.2970828,21.93742695
